IsoCountryCode,Name,OrganisationName,HomepageUrl,Notes
US,US Web Design System,United States Government,https://v2.designsystem.digital.gov,
GB,GOV.UK Design System,HM Government,https://design-system.service.gov.uk,
US,Mayflower,Commonwealth of Massachusetts,https://mayflower.digital.mass.gov,
AR,Poncho,Government of Argentina,http://argob.github.io/poncho/,
IT,Guidelines for design of digital services,Team digitale,https://docs.italia.it/italia/designers-italia/design-linee-guida-docs/it/stabile/,
AU,Digital Design System,New South Wales Government,https://www.digital.nsw.gov.au/digital-design-system,
AU,The Australian Government Design System,Australian Government,https://designsystem.gov.au,
GB,Website design guidelines & pattern library,Brighton & Hove City Council,http://csmdemo.uk/BHCC-website-design-patterns/index.php?p=welcome,
GB,mygov.scot design standards,Scottish Government,https://resources.mygov.scot/design-standards/,
CA,Canada.ca design system,Government of Canada,https://www.canada.ca/en/government/about/design-system.html,
IT,Web development kit,Government of Italy,https://designers.italia.it/kit/web-development-kit/,
SG,design system,Government of Singapore,https://designsystem.isomer.gov.sg,
US,Chigago Design System,City of Chigago,https://chicagodesignsystem.org,
AR,Guia de estilos y plantillas,Municipalidad de CÃ³rdoba,https://modernizacionmunicba.github.io/guia-estilos-y-web/,based on Bootstrap
US,City of Tampa Pattern Library,City of Tampa,https://www.tampagov.net/static/pattern-library/,
UK,Pattern Library,Bristol City Council,http://style.bristol.gov.uk,
US,Fleet,City of Boston,https://patterns.boston.gov,
US,Phila.gov Patterns,City of Philiadelphia,http://cityofphiladelphia.github.io/patterns/,
UK,Oxfordshire County Council style system,Oxfordshire County Council,http://occlss.oxfordshire.gov.uk,
UK,NHS Digital Service Manual,National Health Service,https://beta.nhs.uk/service-manual/,
NL,Pattern Lab,Gemeente Amsterdam,https://patternlab-amsterdam.infoprojects.nl,
NL,MijnOverheid Stijlgids,Nederlandse overheid,https://stijl.mijn.overheid.nl/ui-componenten,
NL,Koop Componenten,Nederlandse overheid,https://componenten-koop.overheid.nl,
CA,Ontario design guide,Government of Ontario,https://www.ontario.ca/page/ontario-design-guide,
GB,Essex Service Design System,Essex County Council,https://essex-design-system.herokuapp.com/docs/core/essex-design-system,
